,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
707257,Protesters (Nigeria),Students (Nigeria),,,Imo,2016-07,"Students of the Alvan Ikoku Federal College of Education, Owerri, took to the streets to protest the planned demolition of a flyover by the Imo State government.",NIG9380,9380
707572,Protesters (Nigeria),APC: All Progressives Congress,,,Ekiti,2016-07,APC holds an anti-Governor Ayodele Fayose protest on 7/7.,NIG9370,9370
708899,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Ekiti,2016-06,Lawmakers (PDP) of state House of Assembly held a plenary session in the middle of highway in protest against the freezing of the account of Governor Ayodele Fayose at the Zenith by the Economic and Financial Crime Commission (EFCC). It is not clear if traffic was halted during the demonstrations.,NIG9344,9344
709396,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2016-06,Anti-Buhari/pro-Ayodele Fayose protest by students in Ado-Ekiti.,NIG9335,9335
709920,Protesters (Nigeria),Labour Group (Nigeria),,,Ogun,2016-06,"Workers unions at the Federal University of Agriculture, Abeokuta have paralysed activities at the institution, following series of protest embarked upon by aggrieved workers over poor working condition which they alleged the management has subjected them to.",NIG9321,9321
711457,Protesters (Nigeria),Students (Nigeria),,,Ogun,2016-06,"Hundreds of Students of Tai Solarin College of Education, Omu-Ijebu of Ogun State, on 15/06 embarked on a protest on behalf of their lecturers who they said had been denied their salaries for 13 months.",NIG9280,9280
711482,Protesters (Nigeria),Women (Nigeria),,,Cross River,2016-06,Thousands of market women and youth groups on 15/06 took to the streets of Calabar to push for a highway project.,NIG9282,9282
711497,Protesters (Nigeria),Christian Group (Nigeria),,,Osun,2016-06,Christian groups protest a court ruling that would allow the hijab to be worn in state schools.,NIG9283,9283
711813,Protesters (Nigeria),Students (Nigeria),,,Enugu,2016-06,Students of the University of Nigeria Enugu Campus (UNEC) protested on 13/06 against acute water scarcity and over three months of power failure around the campus.,NIG9261,9261
712765,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Benue,2016-06,"Unidentified gunmen, either members of a cult group or Fulanis, attacked University of Agriculture Makurdi killing seven students on 08/06. In response to the attack several students protested, though security operatives quickly dispersed the group without reported incident.",NIG9245,9245
714323,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Gov(Nigeria),,Enugu,2016-05,Police arrest 13 members of MASSOB in Enugu following an 'unlawful protest' in aim to establish a Biafran State and celebrated the 49th anniversary of its declaration.,NIG9207,9207
714345,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,,,Cross River,2016-05,MASSOB embarks on a peaceful protest in Calabar.,NIG9203,9203
714349,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Gov(Nigeria),,Abia,2016-05,Police encounter and stop a pro-Biafran MASSOB protest in Aba. No arrests reported.,NIG9205,9205
714350,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Gov(Nigeria),,Ebonyi,2016-05,A clergyman and 320 others were arrested as they were beginning a pro-Biafra protest in Abakaliki.,NIG9206,9206
714352,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Gov(Nigeria),,Abia,2016-05,A man was shot and 19 were arrested by police during a peaceful protest for the MASSOB 49th anniversary in Umuahia. The extent of the gunshot victims injuries are not known.,NIG9208,9208
714469,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Gov(Nigeria),,Imo,2016-05,Seventeen protesting members of MASSOB are arrested following the use of tear-gas from police in Owerri. No reported violence from the protesters.,NIG9214,9214
715007,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2016-05,"Traders at Alaba International Market, near Lagos State University, protest over land encroachment by a bank.",NIG9192,9192
716652,Protesters (Nigeria),APC: All Progressives Congress,,,Bauchi,2016-05,"About 5, 000 youths in Bauchi under the aegis of Bauchi State APC Youths, staged a peaceful rally to support the removal of an oil subsidy.",NIG9156,9156
717637,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Kwara,2016-05,Aggrieved members of the PDP protest at their state party congress in Illorin over a leadership tussle.,NIG9139,9139
717824,Protesters (Nigeria),Women (Nigeria),,,Ebonyi,2016-05,"Women protest in Nkwagu over the detention of the President General of the community. The women 'stormed' a government house, but were stopped by police before they could enter. No reported violence.",NIG9135,9135
717855,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Abia,2016-05,"Over 5,000 members of the Indigenous People of Biafra, IPOB, embarked on a protest march in Aba, calling for the formation and recognition of a Biafran state.",NIG9137,9137
718010,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Imo,2016-05,"Dissatisfied members of the Peoples Democratic Party (PDP) from Imo West(Orlu) 'took over' the state secretariat along Okigwe Road, Owerri, Imo State capital and called for the cancellation of the state congress of the party scheduled to hold today. They alleged that the ward and local government congresses were held in only four out of the 12 council areas of the zone.",NIG9127,9127
719265,Protesters (Nigeria),Women (Nigeria),,,Enugu,2016-05,"At the Lion Building in Ukpabi Nimbo in Uzouwani Council, Enugu State, women were led in protest by women organizations at the gates of the Government House.",NIG9106,9106
720189,Protesters (Nigeria),Gov(Nigeria),,,Adamawa,2016-04,Soldiers protest unpaid salaries in Yola.,NIG9084,9084
722697,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2016-04,"Constituents from Ado/Ogbadibo/Okpokwu in Benue State protest at the National Assembly on 14/04 after their recently elected PDP MP waas not sworn-in as scheduled. The election result had been contested, though up held for the PDP politician by a court.",NIG9003,9003
723004,Protesters (Nigeria),Students (Nigeria),,,Rivers,2016-04,"Students of the University of Port Harcourt protest, calling for the immediate removal of their Vice Chancellor, Prof Ndowa Lale, over what they described as his poor response to the incident that claimed the lives of their colleagues. Students had protested the two previous days over examination fees.",NIG8997,8997
723382,Protesters (Nigeria),Igbo Ethnic Group (Nigeria),,,Bayelsa,2016-04,Several Igbo traders in Yenagoa took a protest to the police headquarters complaining that their safety was no longer guaranteed by authorities in the state after several incidents of violence.,NIG8987,8987
724013,Protesters (Nigeria),Students (Nigeria),,,Lagos,2016-04,UNILAG students protest electricity issues for a second day.,NIG8975,8975
724160,Protesters (Nigeria),Women (Nigeria),,,Imo,2016-04,"Women from Umuduruegwelle community in Ehime Mbano Local Government Area of Imo State protest, took to the street to protest against what they described as 'the incessant rape and murder of innocent mothers in the area.'",NIG8973,8973
725542,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2016-03,Members of the PDP gather at the Independent National Electoral Commission in Abuja to protest the continued delay to act on the Supreme Court judgment in respect of the winners of the National Assembly seats in Anambra state in the 2015 general elections.,NIG8937,8937
727650,Protesters (Nigeria),Students (Nigeria),,,Plateau,2016-03,Students of University of Jos as well as other youths took to the streets to protest against the shooting of a fellow student by security personnel during an arrest the previous day.,NIG8877,8877
727764,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2016-03,JAMB candidates (Joint Admission and Matriculation Board) protest for the removal of the registrar when they believe their grades had been marked down in an effort to privative the university.,NIG8868,8868
728831,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2016-03,Members and leaders of the APC protest at a party headquarters against alleged disenfranchisement by the Buhari administration.,NIG8846,8846
728882,Protesters (Nigeria),Women (Nigeria),,,Lagos,2016-03,A mothers group protests ongoing violence at the hands of Boko Haram and Fulani tribes in Alausa on 09/03. The protest caused traffic problems in the city.,NIG8839,8839
729017,Protesters (Nigeria),Labour Group (Nigeria),,,Oyo,2016-03,Support staff at the University of Ibadan protest non-payment of salaries on 09/03.,NIG8841,8841
729234,Protesters (Nigeria),Journalists (Nigeria),,,Ogun,2016-03,Scores of residents of three communities on the Ibafo-Mowe axis of the Lagos/Ibadan Expressway protest prolonged power outages at the Punch Newspapers headquarters in Ikeja and in Ibafo on 07/03.,NIG8828,8828
729235,Protesters (Nigeria),Journalists (Nigeria),,,Lagos,2016-03,Scores of residents of three communities on the Ibafo-Mowe axis of the Lagos/Ibadan Expressway protest prolonged power outages at the Punch Newspapers headquarters in Ikeja and in Ibafo on 07/03.,NIG8829,8829
730511,Protesters (Nigeria),APC: All Progressives Congress,,,Katsina,2016-02,APC youths hold a political rally in support of President Buhari in Katsinas Kangiwa Square.,NIG8793,8793
731376,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Gombe,2016-02,A secondary school student is shot and killed by security forces when a protest erupted after police attempted to stop a football match.,NIG8775,8775
732672,Protesters (Nigeria),NANS: National Association of Nigerian Students,Gov(Nigeria),,Federal Capital Territory,2016-02,"NANS students protesting the firing of education leaders demonstrate in Abuja on 18/02. Police dispersed the group with tear gas, make five arrests.",NIG8758,8758
733166,Protesters (Nigeria),Students (Nigeria),,,Delta,2016-02,Delta State University students protest for their non payment of their bursary allowance on 16/02 in Asaba.,NIG8748,8748
734457,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2016-02,"Members of the All Progressives Congress (APC), 'last week' (source dated 15/02) staged a peaceful protest at the parties secretariat in Kuje, calling for the replacement of their chairmanship candidate in the forthcoming area council election.",NIG8726,8726
734636,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,Gov(Nigeria),,Abia,2016-02,"Police open fire on an otherwise peaseable IOPB protest in Aba on 09/02. Six dead, injuries reported, plus arrests.",NIG8724,8724
734846,Protesters (Nigeria),Gov(Nigeria),,,Kaduna,2016-02,A group of 250 soldiers protest their dismissal from the army over 'unlawful' activity.,NIG8694,8694
